Gender,Age,Education_Level,Relationship_Status,Hometown,Unit,Decision_skill_possess,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Compensation_and_Benefits,Work_Life_balance,Predicciones
M,22.0,3,Married,Lebanon,Production,Analytical,3.0,1,23,0,4,4.0,type2,2.0,0
M,31.0,4,Single,Franklin,Operarions,Behavioral,6.0,2,68,2,4,1.0,type3,4.0,1
F,65.0,4,Married,Springfield,IT,Conceptual,28.0,4,22,1,2,5.0,type2,2.0,1
F,36.0,2,Single,Lebanon,Operarions,Conceptual,7.0,4,44,0,3,9.0,type2,1.0,0
M,55.0,3,Single,Franklin,Accounting and Finance,Directive,32.0,3,63,1,4,6.0,type2,1.0,1
F,59.0,3,Married,Lebanon,Operarions,Directive,31.0,3,41,0,1,4.0,type1,1.0,1
M,30.0,3,Single,Lebanon,Operarions,Directive,8.0,1,26,1,2,6.0,type2,2.0,0
M,30.0,4,Married,Springfield,IT,Conceptual,8.0,1,44,0,5,6.0,type2,1.0,1
M,32.0,4,Married,Springfield,Logistics,Analytical,3.0,3,28,1,4,8.0,type3,3.0,0
F,52.0,4,Married,Springfield,R&D,Analytical,23.0,2,31,1,2,7.0,type2,2.0,1
F,58.0,4,Single,Clinton,Marketing,Directive,21.0,4,24,0,5,5.0,type3,2.0,1
F,26.0,4,Married,Lebanon,IT,Directive,2.0,2,68,2,2,6.0,type3,4.0,0
F,62.0,4,Married,Franklin,Logistics,Conceptual,32.0,4,69,1,3,7.0,type2,2.0,1
M,21.0,4,Single,Springfield,Sales,Conceptual,2.0,1,49,1,2,6.0,type2,3.0,1
F,40.0,4,Single,Washington,Sales,Analytical,16.0,3,24,0,4,8.0,type2,4.0,0
F,33.0,3,Married,Lebanon,Operarions,Conceptual,5.0,1,74,1,1,5.0,type3,4.0,1
F,19.0,3,Single,Franklin,R&D,Conceptual,0.0,0,23,2,3,7.0,type3,3.0,1
M,54.0,3,Married,Clinton,Sales,Directive,29.0,1,31,2,3,3.0,type2,2.0,1
F,20.0,4,Married,Washington,R&D,Directive,1.0,1,74,0,2,6.0,type2,5.0,0
F,51.0,1,Married,Springfield,Sales,Conceptual,15.0,2,29,2,2,7.0,type2,3.0,0
F,30.0,1,Single,Clinton,Logistics,Conceptual,8.0,2,55,1,5,8.0,type2,4.0,0
F,54.0,3,Married,Lebanon,IT,Analytical,22.0,3,33,1,2,6.0,type2,3.0,0
F,45.0,5,Married,Franklin,Sales,Directive,19.0,3,22,1,2,6.0,type3,3.0,0
M,60.0,4,Single,Lebanon,Sales,Conceptual,23.0,2,68,1,1,5.0,type1,1.0,1
F,31.0,3,Married,Franklin,Security,Analytical,6.0,3,61,1,4,4.0,type2,3.0,1
F,60.0,4,Single,Lebanon,Logistics,Directive,38.0,2,34,1,4,5.0,type2,1.0,0
F,58.0,3,Married,Lebanon,Logistics,Behavioral,25.0,1,44,2,2,7.0,type0,3.0,0
M,21.0,4,Single,Springfield,Purchasing,Analytical,2.0,2,60,1,2,8.0,type2,3.0,1
M,30.0,4,Married,Lebanon,Sales,Behavioral,7.0,1,26,2,5,7.0,type0,1.0,0
F,54.0,5,Single,Franklin,Logistics,Behavioral,17.0,2,45,2,3,8.0,type2,2.0,0
M,27.0,2,Married,Springfield,IT,Directive,5.0,3,55,2,5,4.0,type3,2.0,1
F,54.0,4,Married,Franklin,IT,Directive,23.0,3,39,0,3,6.0,type3,2.0,0
M,37.0,5,Married,Lebanon,Operarions,Behavioral,15.0,2,22,0,2,2.0,type2,4.0,1
F,55.0,4,Married,Lebanon,R&D,Analytical,26.0,1,27,1,3,8.0,type3,1.0,1
F,39.0,4,Married,Springfield,Marketing,Directive,13.0,3,25,0,4,5.0,type2,4.0,1
M,35.0,3,Single,Franklin,IT,Analytical,7.0,4,53,0,5,5.0,type2,2.0,1
F,43.0,2,Married,Washington,Human Resource Management,Analytical,14.0,1,55,1,3,6.0,type2,3.0,1
F,35.0,3,Married,Washington,Production,Analytical,13.0,4,61,0,1,8.0,type3,2.0,1
F,35.0,4,Married,Lebanon,Production,Analytical,9.0,2,26,1,2,10.0,type2,3.0,0
F,33.0,4,Single,Washington,Logistics,Directive,7.0,1,56,0,1,8.0,type4,1.0,0
F,42.0,2,Married,Springfield,IT,Analytical,4.0,2,32,0,2,6.0,type4,4.0,1
F,56.0,3,Single,Springfield,Sales,Behavioral,33.0,4,74,1,1,8.0,type2,1.0,1
M,59.0,1,Single,Springfield,R&D,Conceptual,24.0,4,26,1,3,4.0,type2,3.0,1
F,20.0,1,Single,Franklin,Sales,Directive,1.0,1,73,1,1,6.0,type3,3.0,1
F,34.0,4,Single,Franklin,Logistics,Analytical,9.0,2,58,0,4,7.0,type2,2.0,1
F,45.0,1,Married,Washington,Quality,Conceptual,17.0,3,70,1,3,6.0,type2,1.0,1
F,47.0,2,Married,Franklin,Accounting and Finance,Conceptual,11.0,1,71,0,3,8.0,type3,4.0,1
F,27.0,4,Single,Franklin,IT,Directive,3.0,2,38,0,5,9.0,type4,3.0,0
M,35.0,3,Single,Franklin,Operarions,Analytical,6.0,2,24,1,4,7.0,type3,3.0,0
F,19.0,3,Single,Franklin,R&D,Behavioral,0.0,0,70,1,3,5.0,type3,4.0,1
F,29.0,4,Married,Washington,Logistics,Conceptual,6.0,1,50,1,3,9.0,type3,2.0,1
F,21.0,4,Married,Franklin,IT,Behavioral,2.0,2,22,0,3,8.0,type3,1.0,1
M,35.0,4,Married,Springfield,Accounting and Finance,Behavioral,9.0,3,56,1,3,9.0,type3,2.0,0
M,35.0,2,Married,Franklin,Production,Behavioral,10.0,3,56,1,3,7.0,type3,3.0,0
M,20.0,3,Married,Franklin,Sales,Behavioral,1.0,1,73,1,3,8.0,type4,1.0,1
F,20.0,4,Married,Franklin,IT,Behavioral,1.0,1,33,2,5,5.0,type2,2.0,0
M,45.0,4,Married,Franklin,IT,Behavioral,7.0,1,22,2,1,7.0,type4,2.0,1
M,56.0,2,Married,Lebanon,Human Resource Management,Conceptual,33.0,2,24,1,3,8.0,type2,3.0,1
F,57.0,4,Married,Franklin,R&D,Analytical,31.0,4,41,0,3,8.0,type2,1.0,1
F,42.0,3,Single,Franklin,IT,Analytical,7.0,3,22,2,1,5.0,type2,4.0,0
F,51.0,3,Single,Washington,Logistics,Analytical,25.0,1,73,1,5,9.0,type2,2.0,1
F,46.0,5,Single,Washington,Marketing,Directive,18.0,3,58,2,4,7.0,type2,2.0,0
F,21.0,4,Single,Springfield,Quality,Analytical,2.0,2,72,0,1,8.0,type3,3.0,1
F,42.0,3,Single,Franklin,R&D,Conceptual,8.0,1,47,1,3,4.0,type2,4.0,1
F,56.0,4,Married,Springfield,Purchasing,Behavioral,24.0,2,33,2,3,8.0,type2,2.0,0
F,54.0,3,Single,Clinton,R&D,Conceptual,21.0,4,68,0,2,2.0,type2,2.0,1
M,30.0,1,Single,Springfield,R&D,Conceptual,8.0,3,24,0,1,1.0,type2,2.0,1
F,42.0,4,Married,Lebanon,Marketing,Conceptual,4.0,4,58,2,1,10.0,type3,2.0,1
M,31.0,3,Single,Springfield,Operarions,Directive,8.0,3,33,0,4,10.0,type2,3.0,1
M,56.0,3,Single,Lebanon,R&D,Analytical,33.0,2,34,0,1,7.0,type3,1.0,1
F,22.0,3,Single,Lebanon,Marketing,Analytical,3.0,3,62,1,4,5.0,type2,4.0,1
M,52.0,2,Single,Washington,Logistics,Analytical,24.0,4,67,1,2,1.0,type4,3.0,0
F,38.0,4,Married,Springfield,Logistics,Analytical,11.0,2,59,1,3,4.0,type0,3.0,1
F,24.0,3,Married,Washington,Sales,Analytical,5.0,2,42,0,2,6.0,type4,3.0,1
F,49.0,5,Married,Clinton,Logistics,Conceptual,26.0,3,70,2,1,8.0,type3,1.0,0
F,35.0,4,Single,Lebanon,R&D,Analytical,10.0,4,66,1,2,6.0,type3,1.0,0
F,37.0,2,Single,Lebanon,Logistics,Analytical,10.0,2,52,1,1,8.0,type3,3.0,1
F,60.0,3,Single,Washington,IT,Conceptual,34.0,1,41,2,4,5.0,type2,2.0,1
F,30.0,3,Single,Lebanon,Sales,Conceptual,6.0,4,65,2,2,7.0,type3,1.0,0
F,52.0,4,Married,Franklin,IT,Conceptual,16.0,4,53,0,5,6.0,type2,1.0,1
F,19.0,4,Single,Lebanon,Sales,Analytical,0.0,0,27,1,1,6.0,type3,1.0,0
F,62.0,3,Married,Springfield,Purchasing,Behavioral,39.0,3,50,1,5,6.0,type3,2.0,1
M,54.0,1,Single,Lebanon,Sales,Behavioral,20.0,3,49,1,1,10.0,type3,1.0,1
F,60.0,3,Single,Springfield,IT,Directive,34.0,2,55,1,3,7.0,type2,4.0,1
F,22.0,4,Single,Washington,Operarions,Behavioral,3.0,2,62,1,3,8.0,type2,2.0,1
M,47.0,4,Single,Springfield,R&D,Analytical,11.0,2,32,0,3,5.0,type3,3.0,1
F,55.0,4,Married,Lebanon,IT,Conceptual,29.0,4,38,0,3,8.0,type2,3.0,0
M,26.0,3,Single,Springfield,R&D,Behavioral,3.0,3,43,0,3,6.0,type2,2.0,0
M,52.0,3,Married,Springfield,Operarions,Behavioral,18.0,4,65,1,2,2.0,type3,3.0,1
M,27.0,4,Single,Lebanon,Logistics,Analytical,3.0,3,20,2,2,7.0,type2,4.0,1
F,22.0,3,Married,Springfield,IT,Analytical,3.0,1,57,0,1,5.0,type3,4.0,1
F,31.0,1,Married,Springfield,Logistics,Conceptual,5.0,4,62,1,3,2.0,type3,3.0,0
F,51.0,3,Single,Lebanon,IT,Analytical,22.0,4,32,1,2,8.0,type2,1.0,1
F,37.0,3,Married,Lebanon,Logistics,Analytical,9.0,4,21,1,3,4.0,type3,3.0,0
F,29.0,4,Single,Franklin,R&D,Behavioral,6.0,1,64,1,4,2.0,type1,1.0,1
M,60.0,3,Single,Washington,Sales,Conceptual,37.0,4,73,1,1,1.0,type2,4.0,0
M,48.0,1,Single,Lebanon,Production,Directive,18.0,3,26,0,3,2.0,type3,1.0,1
F,47.0,4,Married,Franklin,Human Resource Management,Conceptual,16.0,2,44,0,1,6.0,type2,3.0,0
F,29.0,3,Single,Lebanon,IT,Behavioral,7.0,4,68,0,3,8.0,type2,4.0,1
M,37.0,3,Married,Springfield,Production,Analytical,9.0,3,36,1,2,4.0,type2,1.0,0
M,53.0,3,Married,Clinton,R&D,Behavioral,20.0,2,27,2,2,7.0,type3,1.0,1
M,27.0,3,Married,Lebanon,Logistics,Conceptual,5.0,4,41,0,3,7.0,type2,2.0,0
F,25.0,5,Married,Washington,Operarions,Analytical,6.0,4,71,2,2,5.0,type2,1.0,1
M,42.0,4,Married,Lebanon,IT,Directive,14.0,1,65,1,2,6.0,type3,4.0,1
M,49.0,4,Married,Lebanon,Accounting and Finance,Conceptual,21.0,2,69,1,4,7.0,type2,2.0,1
F,58.0,3,Single,Franklin,Operarions,Behavioral,31.0,1,62,0,1,3.0,type3,2.0,1
F,26.0,3,Married,Lebanon,Purchasing,Analytical,2.0,2,41,2,2,4.0,type2,2.0,0
F,46.0,5,Married,Washington,Accounting and Finance,Analytical,15.0,1,29,1,2,6.0,type2,3.0,1
M,26.0,1,Single,Franklin,R&D,Behavioral,3.0,3,71,0,3,5.0,type2,1.0,1
F,32.0,4,Married,Franklin,Purchasing,Conceptual,7.0,4,59,2,1,5.0,type3,3.0,1
M,44.0,4,Single,Lebanon,Quality,Behavioral,14.0,2,48,1,3,6.0,type0,3.0,1
M,32.0,5,Married,Lebanon,R&D,Conceptual,9.0,1,61,1,2,5.0,type2,4.0,1
M,20.0,3,Single,Franklin,Sales,Conceptual,1.0,1,40,0,5,5.0,type2,3.0,1
F,65.0,3,Single,Franklin,Human Resource Management,Analytical,29.0,2,47,1,4,8.0,type2,5.0,0
F,51.0,4,Married,Springfield,IT,Directive,23.0,4,57,2,1,9.0,type2,1.0,0
M,38.0,4,Married,Lebanon,IT,Behavioral,15.0,4,62,1,5,7.0,type2,3.0,1
M,31.0,3,Single,Springfield,IT,Conceptual,8.0,3,35,0,5,4.0,type2,3.0,1
M,59.0,2,Married,Clinton,Purchasing,Directive,20.0,2,57,0,3,9.0,type2,1.0,1
F,38.0,4,Married,Springfield,Logistics,Directive,11.0,3,31,0,3,3.0,type3,3.0,1
M,19.0,4,Married,Washington,Operarions,Analytical,0.0,0,74,0,2,10.0,type3,3.0,1
M,44.0,4,Married,Springfield,Logistics,Analytical,6.0,3,41,1,3,7.0,type3,3.0,1
F,20.0,3,Married,Clinton,IT,Conceptual,1.0,1,24,0,3,6.0,type2,1.0,0
F,25.0,3,Married,Washington,Human Resource Management,Analytical,6.0,1,48,0,2,4.0,type2,2.0,1
F,23.0,3,Married,Lebanon,R&D,Analytical,4.0,4,54,0,4,7.0,type3,3.0,1
F,61.0,3,Married,Springfield,Sales,Analytical,22.0,2,61,0,2,8.0,type3,1.0,0
M,36.0,4,Married,Washington,IT,Analytical,9.0,2,35,0,3,6.0,type0,1.0,0
F,22.0,2,Single,Springfield,Operarions,Behavioral,3.0,3,36,0,3,2.0,type2,3.0,0
F,37.0,4,Married,Franklin,Sales,Conceptual,11.0,4,57,2,4,1.0,type3,1.0,0
F,62.0,3,Married,Springfield,Marketing,Behavioral,29.0,1,30,0,3,8.0,type0,4.0,1
M,30.0,1,Married,Washington,Purchasing,Conceptual,7.0,2,35,1,3,3.0,type2,2.0,1
F,65.0,3,Married,Springfield,IT,Directive,26.0,2,45,0,4,8.0,type2,3.0,1
M,23.0,3,Single,Lebanon,IT,Analytical,4.0,2,58,1,2,8.0,type2,1.0,1
M,64.0,5,Married,Lebanon,IT,Analytical,33.0,2,66,2,2,6.0,type2,3.0,1
M,19.0,3,Married,Springfield,Sales,Behavioral,0.0,0,72,2,4,7.0,type2,3.0,1
F,22.0,5,Single,Lebanon,Sales,Analytical,3.0,1,41,0,1,6.0,type0,1.0,1
F,57.0,4,Married,Lebanon,R&D,Analytical,24.0,1,37,0,4,8.0,type3,1.0,1
M,65.0,3,Married,Springfield,Logistics,Analytical,33.0,4,31,0,3,6.0,type2,2.0,0
F,20.0,1,Single,Franklin,Sales,Directive,1.0,1,73,1,1,6.0,type3,3.0,1
F,31.0,3,Single,Springfield,Human Resource Management,Conceptual,5.0,3,64,0,4,7.0,type3,3.0,1
F,48.0,3,Single,Springfield,Sales,Conceptual,22.0,1,73,1,4,4.0,type2,2.0,1
F,54.0,5,Single,Lebanon,Sales,Directive,17.0,2,29,0,1,5.0,type2,1.0,1
F,27.0,3,Married,Franklin,Human Resource Management,Directive,3.0,3,48,0,5,6.0,type3,1.0,0
M,26.0,3,Married,Franklin,Accounting and Finance,Directive,4.0,2,46,1,5,8.0,type2,1.0,1
F,39.0,3,Single,Springfield,IT,Behavioral,11.0,2,43,1,3,1.0,type2,3.0,0
F,26.0,4,Single,Washington,Human Resource Management,Conceptual,2.0,2,34,0,5,6.0,type3,1.0,1
F,19.0,4,Married,Franklin,Sales,Conceptual,0.0,0,65,1,3,5.0,type3,2.0,1
M,48.0,3,Married,Lebanon,Sales,Behavioral,26.0,3,20,0,2,8.0,type3,1.0,1
F,42.0,3,Single,Franklin,R&D,Conceptual,8.0,1,47,1,3,4.0,type2,4.0,1
M,44.0,5,Married,Washington,IT,Analytical,13.0,4,57,0,2,4.0,type2,3.0,1
M,46.0,4,Single,Lebanon,Purchasing,Analytical,14.0,4,32,0,5,6.0,type2,3.0,1
M,51.0,5,Single,Springfield,Logistics,Directive,13.0,4,63,1,2,5.0,type2,4.0,0
F,26.0,3,Married,Springfield,Purchasing,Behavioral,2.0,1,24,1,5,9.0,type3,1.0,1
F,48.0,4,Single,Clinton,Human Resource Management,Analytical,13.0,3,74,1,3,8.0,type2,1.0,0
F,60.0,3,Single,Franklin,IT,Behavioral,21.0,2,29,0,4,5.0,type2,2.0,0
F,50.0,4,Single,Clinton,Accounting and Finance,Conceptual,24.0,3,32,2,1,7.0,type2,1.0,1
M,21.0,3,Married,Springfield,Sales,Behavioral,2.0,2,68,0,3,3.0,type2,3.0,1
M,52.0,3,Married,Franklin,Purchasing,Directive,24.0,2,73,0,3,5.0,type3,2.0,1
F,31.0,4,Married,Franklin,Accounting and Finance,Analytical,9.0,1,20,0,2,4.0,type2,4.0,1
F,59.0,3,Single,Clinton,IT,Directive,28.0,2,20,1,1,4.0,type2,1.0,1
F,54.0,3,Married,Washington,Logistics,Conceptual,27.0,1,69,1,2,5.0,type2,2.0,0
M,58.0,4,Married,Franklin,R&D,Directive,19.0,4,47,0,2,9.0,type2,2.0,1
F,42.0,4,Married,Lebanon,Security,Conceptual,15.0,1,62,1,4,9.0,type3,1.0,0
F,58.0,2,Married,Lebanon,Accounting and Finance,Analytical,27.0,3,50,0,4,2.0,type0,4.0,0
F,22.0,1,Single,Lebanon,Marketing,Directive,3.0,3,39,2,5,5.0,type3,1.0,1
M,44.0,4,Single,Springfield,Operarions,Analytical,11.0,1,32,0,3,4.0,type3,1.0,0
F,64.0,4,Single,Washington,Logistics,Analytical,40.0,1,60,1,4,4.0,type2,3.0,0
M,27.0,1,Single,Lebanon,Purchasing,Conceptual,3.0,3,57,2,5,5.0,type2,4.0,1
M,38.0,2,Single,Washington,Logistics,Conceptual,15.0,4,25,0,3,4.0,type3,2.0,1
F,24.0,4,Married,Springfield,Operarions,Analytical,5.0,3,45,1,2,5.0,type2,1.0,1
F,19.0,4,Single,Springfield,IT,Conceptual,0.0,0,42,0,2,6.0,type3,2.0,1
F,27.0,4,Married,Franklin,Sales,Behavioral,5.0,4,64,1,3,6.0,type3,3.0,1
F,19.0,3,Single,Franklin,R&D,Conceptual,0.0,0,23,2,3,7.0,type3,3.0,1
F,45.0,1,Married,Washington,Quality,Conceptual,17.0,3,70,1,3,6.0,type2,1.0,1
M,61.0,3,Single,Lebanon,R&D,Behavioral,26.0,3,54,0,3,6.0,type2,3.0,0
F,43.0,4,Married,Washington,Logistics,Behavioral,21.0,1,54,1,3,7.0,type2,1.0,1
F,47.0,3,Married,Springfield,Logistics,Behavioral,10.0,1,23,1,3,8.0,type3,2.0,1
F,32.0,5,Married,Franklin,R&D,Conceptual,6.0,2,67,0,2,3.0,type3,1.0,0
F,63.0,3,Married,Washington,Logistics,Analytical,35.0,1,46,1,1,5.0,type2,5.0,0
M,52.0,3,Single,Lebanon,Operarions,Directive,25.0,1,38,1,3,9.0,type3,3.0,0
F,54.0,3,Single,Lebanon,Logistics,Analytical,28.0,2,49,0,2,6.0,type3,2.0,0
F,54.0,3,Single,Lebanon,IT,Analytical,18.0,1,74,1,3,6.0,type1,3.0,0
F,25.0,3,Married,Lebanon,Sales,Analytical,6.0,4,52,1,4,5.0,type3,1.0,0
F,24.0,4,Married,Franklin,R&D,Analytical,5.0,4,29,0,2,2.0,type3,1.0,0
F,32.0,4,Married,Franklin,Purchasing,Conceptual,7.0,4,59,2,1,5.0,type3,3.0,1
F,23.0,3,Married,Franklin,R&D,Analytical,4.0,4,51,0,1,6.0,type2,2.0,1
M,23.0,3,Married,Lebanon,Human Resource Management,Conceptual,4.0,4,20,1,1,4.0,type2,3.0,0
M,30.0,4,Married,Springfield,IT,Conceptual,8.0,1,44,0,5,6.0,type2,1.0,1
M,62.0,3,Married,Springfield,Sales,Conceptual,30.0,3,42,1,4,2.0,type2,3.0,1
M,64.0,4,Single,Lebanon,Operarions,Conceptual,38.0,2,63,0,2,4.0,type0,2.0,1
F,36.0,2,Single,Lebanon,Operarions,Directive,11.0,1,33,1,3,4.0,type3,2.0,1
F,51.0,1,Married,Springfield,Logistics,Directive,27.0,2,50,2,1,7.0,type3,2.0,1
F,49.0,4,Married,Lebanon,Operarions,Analytical,16.0,2,72,1,2,9.0,type3,2.0,0
F,59.0,5,Married,Springfield,Accounting and Finance,Behavioral,27.0,2,54,0,5,4.0,type2,3.0,1
F,44.0,2,Married,Lebanon,Sales,Behavioral,17.0,4,34,1,1,9.0,type3,4.0,1
M,38.0,3,Married,Franklin,IT,Directive,16.0,2,24,1,2,9.0,type2,1.0,1
F,35.0,3,Single,Springfield,Sales,Analytical,12.0,1,36,1,4,8.0,type2,3.0,1
M,49.0,1,Married,Lebanon,Operarions,Conceptual,10.0,2,30,1,4,4.0,type0,3.0,1
F,46.0,4,Married,Clinton,Logistics,Behavioral,15.0,1,43,1,2,4.0,type3,1.0,0
F,22.0,1,Single,Washington,Security,Analytical,3.0,3,29,1,4,9.0,type4,2.0,0
M,28.0,2,Single,Lebanon,Quality,Behavioral,5.0,2,50,0,5,8.0,type2,3.0,0
F,25.0,4,Married,Springfield,Sales,Behavioral,6.0,4,36,2,1,8.0,type3,4.0,0
M,37.0,5,Married,Lebanon,Operarions,Behavioral,15.0,2,22,0,2,2.0,type2,4.0,1
F,50.0,5,Married,Franklin,Sales,Directive,12.0,4,61,1,3,5.0,type2,1.0,0
F,64.0,3,Single,Washington,IT,Directive,42.0,1,49,0,3,5.0,type3,2.0,1
M,41.0,3,Married,Clinton,IT,Conceptual,3.0,2,21,2,3,4.0,type2,4.0,1
F,22.0,4,Married,Washington,Logistics,Analytical,3.0,1,58,2,3,8.0,type2,2.0,1
M,22.0,5,Single,Lebanon,Logistics,Conceptual,3.0,1,48,0,2,5.0,type2,4.0,1
F,47.0,1,Single,Franklin,Logistics,Directive,12.0,3,20,0,4,7.0,type3,2.0,1
F,51.0,5,Married,Springfield,Human Resource Management,Directive,27.0,3,22,1,4,7.0,type2,3.0,1
F,53.0,5,Married,Lebanon,R&D,Analytical,28.0,1,55,0,4,7.0,type2,1.0,0
M,57.0,3,Married,Washington,R&D,Conceptual,25.0,3,58,1,1,8.0,type3,1.0,0
F,50.0,1,Married,Franklin,Operarions,Directive,22.0,1,28,0,1,6.0,type2,1.0,0
F,42.0,3,Single,Franklin,R&D,Conceptual,8.0,1,47,1,3,4.0,type2,4.0,1
M,28.0,3,Married,Washington,Sales,Directive,4.0,1,40,1,2,2.0,type3,3.0,1
F,65.0,5,Married,Lebanon,IT,Analytical,34.0,3,61,1,2,9.0,type2,4.0,1
M,65.0,1,Single,Clinton,IT,Analytical,28.0,4,23,0,3,4.0,type3,2.0,1
F,58.0,3,Married,Springfield,Logistics,Conceptual,29.0,1,48,1,1,7.0,type2,3.0,1
M,43.0,3,Single,Springfield,Purchasing,Behavioral,10.0,3,50,1,1,5.0,type2,3.0,1
M,47.0,3,Single,Lebanon,Operarions,Behavioral,21.0,2,25,0,3,8.0,type2,3.0,0
F,65.0,2,Married,Washington,Operarions,Conceptual,26.0,1,40,0,3,8.0,type2,3.0,1
F,36.0,4,Married,Franklin,IT,Conceptual,12.0,3,46,1,5,5.0,type3,4.0,1
M,27.0,4,Married,Lebanon,Logistics,Conceptual,4.0,2,41,1,4,6.0,type0,3.0,1
F,39.0,3,Married,Springfield,Marketing,Analytical,11.0,1,60,0,3,8.0,type2,4.0,1
F,27.0,4,Married,Springfield,Sales,Directive,3.0,3,34,1,3,7.0,type2,3.0,0
F,28.0,4,Married,Lebanon,R&D,Directive,5.0,2,47,0,1,8.0,type2,3.0,1
M,56.0,3,Married,Franklin,R&D,Behavioral,22.0,3,74,2,1,6.0,type2,4.0,0
F,42.0,3,Married,Lebanon,Sales,Directive,20.0,3,22,2,3,9.0,type3,1.0,1
M,47.0,3,Single,Springfield,Production,Analytical,22.0,1,29,2,3,4.0,type2,3.0,1
F,32.0,4,Married,Springfield,IT,Directive,7.0,1,21,0,2,5.0,type2,1.0,1
F,31.0,3,Married,Springfield,IT,Conceptual,8.0,3,62,0,3,8.0,type2,1.0,1
M,20.0,3,Single,Franklin,Sales,Conceptual,1.0,1,40,0,5,5.0,type2,3.0,1
F,65.0,2,Married,Washington,Operarions,Conceptual,26.0,1,40,0,3,8.0,type2,3.0,1
F,63.0,2,Married,Franklin,Operarions,Directive,40.0,1,72,2,1,6.0,type2,1.0,0
M,21.0,1,Married,Franklin,IT,Behavioral,2.0,2,33,1,2,4.0,type3,4.0,0
F,45.0,4,Single,Springfield,Human Resource Management,Conceptual,23.0,1,58,1,2,6.0,type3,2.0,0
M,59.0,3,Married,Lebanon,Operarions,Analytical,22.0,3,30,0,2,8.0,type3,1.0,0
M,57.0,3,Married,Springfield,Sales,Behavioral,22.0,2,41,1,3,8.0,type0,4.0,1
F,19.0,3,Married,Franklin,R&D,Behavioral,0.0,0,72,1,1,4.0,type3,2.0,1
F,63.0,1,Married,Lebanon,Accounting and Finance,Directive,34.0,1,49,0,2,10.0,type2,3.0,1
M,59.0,3,Single,Springfield,Sales,Directive,27.0,2,57,1,2,6.0,type4,1.0,1
M,37.0,3,Single,Franklin,Purchasing,Conceptual,12.0,4,37,0,1,5.0,type2,1.0,0
M,32.0,3,Single,Springfield,Purchasing,Conceptual,7.0,2,47,1,2,3.0,type2,3.0,1
F,31.0,3,Single,Springfield,Purchasing,Analytical,7.0,4,31,1,3,2.0,type3,3.0,1
F,41.0,5,Married,Lebanon,Operarions,Behavioral,14.0,3,72,0,5,8.0,type2,4.0,0
M,52.0,4,Single,Franklin,Sales,Analytical,25.0,2,62,1,2,5.0,type3,1.0,0
F,59.0,5,Married,Springfield,R&D,Behavioral,33.0,4,52,1,1,6.0,type2,2.0,0
F,37.0,3,Single,Franklin,Logistics,Behavioral,9.0,4,24,0,3,9.0,type3,3.0,0
M,47.0,3,Single,Lebanon,R&D,Conceptual,22.0,2,70,1,2,5.0,type2,1.0,1
F,31.0,1,Single,Clinton,IT,Analytical,5.0,4,58,1,3,8.0,type1,2.0,1
M,22.0,4,Married,Lebanon,Logistics,Analytical,3.0,3,46,1,2,7.0,type2,3.0,0
M,22.0,3,Married,Clinton,Accounting and Finance,Behavioral,3.0,3,35,1,1,7.0,type4,3.0,0
M,37.0,4,Married,Franklin,IT,Directive,15.0,4,46,1,4,2.0,type2,3.0,0
F,27.0,3,Single,Franklin,IT,Conceptual,3.0,1,63,0,3,8.0,type3,3.0,0
F,21.0,3,Married,Clinton,Sales,Behavioral,2.0,2,59,1,5,9.0,type3,3.0,0
M,43.0,5,Single,Lebanon,Quality,Behavioral,19.0,1,74,1,2,8.0,type2,4.0,1
F,25.0,3,Single,Springfield,Marketing,Analytical,6.0,4,26,0,3,4.0,type4,1.0,0
F,29.0,4,Single,Franklin,R&D,Behavioral,6.0,1,64,1,4,2.0,type1,1.0,1
M,48.0,4,Single,Franklin,R&D,Behavioral,18.0,4,40,1,3,4.0,type3,1.0,0
F,35.0,2,Married,Springfield,Logistics,Conceptual,13.0,3,56,2,3,7.0,type2,4.0,0
F,54.0,5,Married,Springfield,Sales,Analytical,19.0,1,36,1,3,4.0,type3,3.0,0
F,60.0,3,Married,Springfield,Accounting and Finance,Behavioral,21.0,4,41,0,3,6.0,type3,4.0,1
F,29.0,3,Married,Washington,Purchasing,Behavioral,5.0,1,32,1,3,5.0,type2,3.0,1
F,53.0,4,Married,Lebanon,IT,Behavioral,20.0,3,28,2,1,4.0,type2,3.0,1
F,22.0,3,Single,Lebanon,Operarions,Behavioral,3.0,3,60,1,3,4.0,type3,1.0,0
F,19.0,4,Married,Franklin,Accounting and Finance,Behavioral,0.0,0,65,1,2,5.0,type3,2.0,0
M,28.0,3,Married,Lebanon,Quality,Behavioral,4.0,3,52,2,2,7.0,type3,2.0,0
F,48.0,5,Married,Springfield,R&D,Conceptual,16.0,2,74,1,1,4.0,type4,4.0,0
M,21.0,4,Married,Springfield,Logistics,Analytical,2.0,2,49,1,3,6.0,type2,4.0,0
M,59.0,2,Married,Franklin,IT,Directive,27.0,4,65,1,3,5.0,type3,3.0,1
M,24.0,3,Single,Lebanon,IT,Directive,5.0,1,66,1,4,8.0,type3,4.0,0
F,54.0,1,Married,Franklin,IT,Analytical,29.0,1,73,1,4,6.0,type2,3.0,0
